id,name,genre,platform,release_year,min_ram_gb,min_gpu_tier,min_cpu_tier,min_storage_gb,min_os,rec_ram_gb,rec_gpu_tier,rec_cpu_tier,rec_storage_gb,rec_os
cyberpunk2077,Cyberpunk 2077,RPG,PC,2020,8,2,3,70,Windows 10,16,4,4,70,"Windows 10, Windows 11"
eldenring,Elden Ring,Action RPG,PC,2022,12,3,3,60,"Windows 10, Windows 11",16,4,4,60,"Windows 10, Windows 11"
gtav,GTA V,Open World,PC,2015,4,2,2,72,Windows 10,8,3,3,72,"Windows 10, Windows 11"
rdr2,Red Dead Redemption 2,Open World,PC,2019,8,3,3,150,Windows 10,16,4,4,150,"Windows 10, Windows 11"
msfs2020,Microsoft Flight Simulator,Simulation,PC,2020,8,3,3,150,Windows 10,32,5,5,150,"Windows 10, Windows 11"
hogwartslegacy,Hogwarts Legacy,Action RPG,PC,2023,8,3,3,85,Windows 10,16,4,4,85,"Windows 10, Windows 11"
valorant,Valorant,FPS,PC,2020,4,1,2,8,"Windows 7, Windows 8, Windows 10",8,3,3,8,"Windows 10, Windows 11"
fortnite,Fortnite,Battle Royale,PC,2017,8,2,3,29,Windows 10,16,4,4,29,"Windows 10, Windows 11"
minecraft,Minecraft,Sandbox,PC,2011,4,1,2,4,Windows 10,8,3,3,4,"Windows 10, Windows 11"
cs2,Counter-Strike 2,FPS,PC,2023,4,2,2,15,Windows 10,8,3,3,15,"Windows 10, Windows 11"
rocketleague,Rocket League,Sports,PC,2015,4,1,2,20,"Windows 7, Windows 8, Windows 10",8,3,3,20,"Windows 10, Windows 11"
witcher3,The Witcher 3,RPG,PC,2015,6,2,2,35,"Windows 7, Windows 10",8,3,3,35,"Windows 10, Windows 11"
cyberpunkphantom,Cyberpunk 2077: Phantom Liberty,DLC/RPG,PC,2023,8,3,3,70,Windows 10,16,5,5,70,"Windows 10, Windows 11"
stardewvalley,Stardew Valley,Simulation,PC,2016,2,1,1,2,"Windows XP, Windows 10",4,1,2,2,"Windows 10, Windows 11"
among_us,Among Us,Party,PC,2018,1,1,1,1,"Windows 7, Windows 10",2,1,1,1,"Windows 10, Windows 11"
pubgmobile,PUBG Mobile,Battle Royale,Mobile,2018,2,1,1,4,"Android 5.1, iOS 11",4,2,2,8,"Android 8, iOS 13"
coc,Clash of Clans,Strategy,Mobile,2012,1,1,1,1,"Android 5, iOS 9",2,1,1,2,"Android 8, iOS 12"
freefire,Free Fire,Battle Royale,Mobile,2017,2,1,1,2,"Android 4.1, iOS 11",3,1,2,4,"Android 8, iOS 12"
bgmi,Battlegrounds Mobile India,Battle Royale,Mobile,2021,2,1,1,4,"Android 5.1, iOS 11",4,2,2,8,"Android 8, iOS 13"
codmobile,Call of Duty Mobile,FPS,Mobile,2019,2,1,1,3,"Android 5.1, iOS 9",4,2,2,6,"Android 8, iOS 13"
geншин,Genshin Impact,Action RPG,Mobile,2020,3,1,2,30,"Android 8, iOS 12",4,2,2,30,"Android 9, iOS 14"
mobilelegends,Mobile Legends,MOBA,Mobile,2016,1,1,1,1,"Android 4.1, iOS 8",2,1,1,2,"Android 7, iOS 11"
brawlstars,Brawl Stars,Action,Mobile,2018,1,1,1,1,"Android 5, iOS 13",2,1,1,2,"Android 8, iOS 13"
asphalt9,Asphalt 9 Legends,Racing,Mobile,2018,2,1,1,2,"Android 5, iOS 11",3,2,2,4,"Android 8, iOS 13"
honkaistarrail,Honkai Star Rail,RPG,Mobile,2023,3,1,2,15,"Android 8, iOS 12",6,2,2,20,"Android 10, iOS 14"
minecraftpe,Minecraft Pocket Edition,Sandbox,Mobile,2011,1,1,1,1,"Android 5, iOS 13",2,1,1,2,"Android 8, iOS 14"
clashroyal,Clash Royale,Strategy,Mobile,2016,1,1,1,1,"Android 5, iOS 9",2,1,1,1,"Android 7, iOS 12"
roblox_mobile,Roblox,Sandbox,Mobile,2006,1,1,1,1,"Android 5, iOS 13",2,1,1,2,"Android 7, iOS 14"
subway_surfers,Subway Surfers,Endless Runner,Mobile,2012,1,1,1,1,"Android 4.1, iOS 12",1,1,1,1,"Android 7, iOS 13"
candycrush,Candy Crush Saga,Puzzle,Mobile,2012,1,1,1,1,"Android 4, iOS 12",1,1,1,1,"Android 6, iOS 12"
